main.id,code_project,financing_modality,is_mandatory,contract_date,start_date,finish_date,defined_maturity_level,final_maturity_level,embrapii_amount,company_amount,ue_amount,total_amount,main.data_carga
130,PLAC-1412.0005,EMBRAPII,3,2016-01-25,2016-01-25,2016-10-15,6,6,144939.000000,235528.000000,54352.000000,434819.000000,2025-03-25 02:01:06-03:00
118,PTEC-1606.0001,EMBRAPII,4,2016-06-15,2016-06-15,2019-06-14,6,6,434030.289999,868060.579999,0.000000,1302090.870000,2025-03-31 13:34:13-03:00
126,PLAC-1412.0001,EMBRAPII,0,2014-12-18,2014-12-18,2016-12-18,4,4,150000.000000,245000.000000,55000.000000,450000.000000,2025-03-31 13:34:13-03:00
127,PLAC-1412.0002,EMBRAPII,0,2015-08-02,2015-08-02,2016-03-31,6,6,74000.000000,114000.000000,75000.000000,263000.000000,2025-03-31 13:34:13-03:00
128,PLAC-1412.0003,EMBRAPII,0,2015-09-21,2015-09-21,2016-01-31,6,6,43000.000000,66000.000000,20000.000000,129000.000000,2025-03-31 13:34:13-03:00
129,PLAC-1412.0004,EMBRAPII,1,2016-01-25,2016-01-25,2016-07-31,6,6,84268.800000,127680.000000,43411.200000,255360.000000,2025-03-31 13:34:13-03:00
130,PLAC-1412.0005,EMBRAPII,3,2016-01-25,2016-01-25,2016-10-15,6,6,144939.000000,235528.000000,54352.000000,434819.000000,2025-03-31 13:34:13-03:00
131,PLAC-1607.0006,EMBRAPII,1,2016-07-18,2016-07-18,2018-07-31,6,6,837328.000000,1395546.669999,558218.670000,2791093.339999,2025-03-25 02:01:06-03:00
132,PLAC-1607.0007,EMBRAPII,1,2016-07-18,2016-07-18,2018-07-31,6,6,707176.000000,1178626.669999,471450.669999,2357253.339999,2025-03-25 02:01:06-03:00
243,PCIM-1410.0001,EMBRAPII,0,2014-10-17,2014-10-17,2018-10-17,6,6,363090.000000,363090.000000,363090.000000,1089270.000000,2025-03-25 02:01:06-03:00
244,PCIM-1410.0002,EMBRAPII,0,2014-10-31,2014-10-31,2016-10-31,6,6,239037.750000,239037.750000,239037.750000,717113.250000,2025-03-25 02:01:06-03:00
245,PCIM-1411.0003,EMBRAPII,0,2014-11-18,2014-11-18,2016-11-18,6,6,53379.000000,53379.000000,53379.000000,160137.000000,2025-03-25 02:01:06-03:00
246,PCIM-1412.0004,EMBRAPII,0,2014-12-30,2014-12-30,2016-04-30,6,6,75757.750000,28626.110000,200000.000000,304383.859999,2025-03-25 02:01:06-03:00
131,PLAC-1607.0006,EMBRAPII,1,2016-07-18,2016-07-18,2018-07-31,6,6,837328.000000,1395546.669999,558218.670000,2791093.339999,2025-03-31 13:34:13-03:00
132,PLAC-1607.0007,EMBRAPII,1,2016-07-18,2016-07-18,2018-07-31,6,6,707176.000000,1178626.669999,471450.669999,2357253.339999,2025-03-31 13:34:13-03:00
243,PCIM-1410.0001,EMBRAPII,0,2014-10-17,2014-10-17,2018-10-17,6,6,363090.000000,363090.000000,363090.000000,1089270.000000,2025-03-31 13:34:13-03:00
244,PCIM-1410.0002,EMBRAPII,0,2014-10-31,2014-10-31,2016-10-31,6,6,239037.750000,239037.750000,239037.750000,717113.250000,2025-03-31 13:34:13-03:00
245,PCIM-1411.0003,EMBRAPII,0,2014-11-18,2014-11-18,2016-11-18,6,6,53379.000000,53379.000000,53379.000000,160137.000000,2025-03-31 13:34:13-03:00
246,PCIM-1412.0004,EMBRAPII,0,2014-12-30,2014-12-30,2016-04-30,6,6,75757.750000,28626.110000,200000.000000,304383.859999,2025-03-31 13:34:13-03:00
247,PCIM-1503.0005,EMBRAPII,0,2015-03-11,2015-03-11,2018-03-11,6,6,93874.200000,93874.200000,93874.200000,281622.599999,2025-03-25 02:01:06-03:00
248,PCIM-1504.0006,EMBRAPII,0,2015-04-23,2015-04-23,2018-04-23,4,4,1242950.629999,1242950.629999,1242950.629999,3728851.890000,2025-03-25 02:01:06-03:00
249,PCIM-1505.0007,EMBRAPII,0,2015-05-04,2015-05-04,2018-05-04,5,5,373611.700000,373611.700000,373611.700000,1120835.100000,2025-03-25 02:01:06-03:00
250,PCIM-1505.0008,EMBRAPII,0,2015-05-26,2015-05-26,2016-05-25,5,5,300000.000000,300000.000000,300000.000000,900000.000000,2025-03-25 02:01:06-03:00
251,PCIM-1506.0009,EMBRAPII,0,2015-06-09,2015-06-09,2018-06-09,6,6,109880.000000,109880.000000,109880.000000,329640.000000,2025-03-25 02:01:06-03:00
252,PCIM-1506.0010,EMBRAPII,0,2015-06-10,2015-06-10,2018-06-10,6,6,341730.900000,341730.900000,341730.900000,1025192.699999,2025-03-25 02:01:06-03:00
247,PCIM-1503.0005,EMBRAPII,0,2015-03-11,2015-03-11,2018-03-11,6,6,93874.200000,93874.200000,93874.200000,281622.599999,2025-03-31 13:34:13-03:00
248,PCIM-1504.0006,EMBRAPII,0,2015-04-23,2015-04-23,2018-04-23,4,4,1242950.629999,1242950.629999,1242950.629999,3728851.890000,2025-03-31 13:34:13-03:00
249,PCIM-1505.0007,EMBRAPII,0,2015-05-04,2015-05-04,2018-05-04,5,5,373611.700000,373611.700000,373611.700000,1120835.100000,2025-03-31 13:34:13-03:00
250,PCIM-1505.0008,EMBRAPII,0,2015-05-26,2015-05-26,2016-05-25,5,5,300000.000000,300000.000000,300000.000000,900000.000000,2025-03-31 13:34:13-03:00
251,PCIM-1506.0009,EMBRAPII,0,2015-06-09,2015-06-09,2018-06-09,6,6,109880.000000,109880.000000,109880.000000,329640.000000,2025-03-31 13:34:13-03:00
252,PCIM-1506.0010,EMBRAPII,0,2015-06-10,2015-06-10,2018-06-10,6,6,341730.900000,341730.900000,341730.900000,1025192.699999,2025-03-31 13:34:13-03:00
253,PCIM-1508.0011,EMBRAPII,0,2015-10-22,2015-10-22,2017-10-22,6,6,379235.700000,379235.700000,379235.700000,1137707.100000,2025-03-25 02:01:06-03:00
254,PCIM-1511.0012,EMBRAPII,0,2015-11-27,2015-11-27,2018-11-27,6,6,1810297.060000,2399696.100000,1257530.419999,5467523.580000,2025-03-25 02:01:06-03:00
255,PCIM-1511.0013,EMBRAPII,0,2015-11-27,2015-11-27,2018-11-27,6,6,145959.000000,193480.000000,101391.000000,440830.000000,2025-03-25 02:01:06-03:00
256,PCIM-1511.0014,EMBRAPII,0,2015-11-26,2015-11-26,2018-05-26,5,5,704603.020000,939470.689999,491086.950000,2135160.660000,2025-03-25 02:01:06-03:00
257,PCIM-1511.0015,EMBRAPII,0,2015-11-27,2015-11-27,2017-11-26,6,6,251587.730000,114776.630000,259398.500000,625762.859999,2025-03-25 02:01:06-03:00
258,PCIM-1511.0016,EMBRAPII,0,2015-11-27,2015-11-27,2017-11-26,5,5,354836.000000,470366.000000,245698.000000,1070900.000000,2025-03-25 02:01:06-03:00
253,PCIM-1508.0011,EMBRAPII,0,2015-10-22,2015-10-22,2017-10-22,6,6,379235.700000,379235.700000,379235.700000,1137707.100000,2025-03-31 13:34:13-03:00
254,PCIM-1511.0012,EMBRAPII,0,2015-11-27,2015-11-27,2018-11-27,6,6,1810297.060000,2399696.100000,1257530.419999,5467523.580000,2025-03-31 13:34:13-03:00
255,PCIM-1511.0013,EMBRAPII,0,2015-11-27,2015-11-27,2018-11-27,6,6,145959.000000,193480.000000,101391.000000,440830.000000,2025-03-31 13:34:13-03:00
256,PCIM-1511.0014,EMBRAPII,0,2015-11-26,2015-11-26,2018-05-26,5,5,704603.020000,939470.689999,491086.950000,2135160.660000,2025-03-31 13:34:13-03:00
257,PCIM-1511.0015,EMBRAPII,0,2015-11-27,2015-11-27,2017-11-26,6,6,251587.730000,114776.630000,259398.500000,625762.859999,2025-03-31 13:34:13-03:00
258,PCIM-1511.0016,EMBRAPII,0,2015-11-27,2015-11-27,2017-11-26,5,5,354836.000000,470366.000000,245698.000000,1070900.000000,2025-03-31 13:34:13-03:00
259,PCIM-1511.0017,EMBRAPII,0,2015-11-27,2015-11-27,2017-11-26,5,5,273229.000000,362187.000000,189800.000000,825216.000000,2025-03-25 02:01:06-03:00
260,PCIM-1511.0018,EMBRAPII,0,2015-12-30,2015-12-30,2018-12-30,5,5,748991.000000,998655.000000,522024.000000,2269670.000000,2025-03-25 02:01:06-03:00
261,PCIM-1511.0019,EMBRAPII,0,2015-11-27,2015-11-27,2017-11-26,6,6,631823.000000,842430.000000,440362.000000,1914615.000000,2025-03-25 02:01:06-03:00
262,PCIM-1511.0020,EMBRAPII,0,2015-12-30,2016-10-18,2018-03-18,5,5,474233.000000,628634.000000,329428.000000,1432295.000000,2025-03-25 02:01:06-03:00
263,PCIM-1602.0021,EMBRAPII,0,2016-02-25,2016-02-26,2020-02-26,5,5,1792340.149999,2389786.859999,1249206.770000,5431333.780000,2025-03-25 02:01:06-03:00
264,PCIM-1602.0022,EMBRAPII,0,2016-02-25,2016-02-26,2018-11-03,5,5,1075935.419999,1434580.560000,749894.380000,3260410.359999,2025-03-25 02:01:06-03:00
259,PCIM-1511.0017,EMBRAPII,0,2015-11-27,2015-11-27,2017-11-26,5,5,273229.000000,362187.000000,189800.000000,825216.000000,2025-03-31 13:34:13-03:00
260,PCIM-1511.0018,EMBRAPII,0,2015-12-30,2015-12-30,2018-12-30,5,5,748991.000000,998655.000000,522024.000000,2269670.000000,2025-03-31 13:34:13-03:00
261,PCIM-1511.0019,EMBRAPII,0,2015-11-27,2015-11-27,2017-11-26,6,6,631823.000000,842430.000000,440362.000000,1914615.000000,2025-03-31 13:34:13-03:00
262,PCIM-1511.0020,EMBRAPII,0,2015-12-30,2016-10-18,2018-03-18,5,5,474233.000000,628634.000000,329428.000000,1432295.000000,2025-03-31 13:34:13-03:00
263,PCIM-1602.0021,EMBRAPII,0,2016-02-25,2016-02-26,2020-02-26,5,5,1792340.149999,2389786.859999,1249206.770000,5431333.780000,2025-03-31 13:34:13-03:00
264,PCIM-1602.0022,EMBRAPII,0,2016-02-25,2016-02-26,2018-11-03,5,5,1075935.419999,1434580.560000,749894.380000,3260410.359999,2025-03-31 13:34:13-03:00
265,PCIM-1602.0023,EMBRAPII,0,2016-02-25,2016-02-25,2019-02-25,5,5,1899000.000000,2532000.000000,1323545.000000,5754545.000000,2025-03-25 02:01:06-03:00
266,PCIM-1603.0024,EMBRAPII,0,2016-03-31,2016-03-31,2017-03-30,6,6,130000.000000,130000.000000,130000.000000,390000.000000,2025-03-25 02:01:06-03:00
267,PCIM-1604.0025,EMBRAPII,0,2016-04-28,2016-04-28,2017-10-28,6,6,220714.290000,294285.710000,153831.170000,668831.170000,2025-03-25 02:01:06-03:00
268,PCIM-1605.0026,EMBRAPII,4,2016-05-26,2016-05-26,2017-09-26,6,6,6338321.969999,11771169.359999,5409328.580000,23518819.910000,2025-03-25 02:01:06-03:00
269,PCIM-1606.0027,EMBRAPII,4,2016-06-22,2016-06-22,2018-06-22,6,6,1051948.050000,1948051.949999,896103.900000,3896103.899999,2025-03-25 02:01:06-03:00
270,PCIM-1609.0028,EMBRAPII,0,2016-09-28,2016-09-28,2019-09-28,4,4,270000.000000,360000.000000,188181.820000,818181.819999,2025-03-25 02:01:06-03:00
265,PCIM-1602.0023,EMBRAPII,0,2016-02-25,2016-02-25,2019-02-25,5,5,1899000.000000,2532000.000000,1323545.000000,5754545.000000,2025-03-31 13:34:13-03:00
266,PCIM-1603.0024,EMBRAPII,0,2016-03-31,2016-03-31,2017-03-30,6,6,130000.000000,130000.000000,130000.000000,390000.000000,2025-03-31 13:34:13-03:00
267,PCIM-1604.0025,EMBRAPII,0,2016-04-28,2016-04-28,2017-10-28,6,6,220714.290000,294285.710000,153831.170000,668831.170000,2025-03-31 13:34:13-03:00
268,PCIM-1605.0026,EMBRAPII,4,2016-05-26,2016-05-26,2017-09-26,6,6,6338321.969999,11771169.359999,5409328.580000,23518819.910000,2025-03-31 13:34:13-03:00
269,PCIM-1606.0027,EMBRAPII,4,2016-06-22,2016-06-22,2018-06-22,6,6,1051948.050000,1948051.949999,896103.900000,3896103.899999,2025-03-31 13:34:13-03:00
270,PCIM-1609.0028,EMBRAPII,0,2016-09-28,2016-09-28,2019-09-28,4,4,270000.000000,360000.000000,188181.820000,818181.819999,2025-03-31 13:34:13-03:00
271,PCIM-1609.0029,EMBRAPII,0,2016-09-22,2016-09-22,2018-03-22,4,4,385714.289999,514285.710000,268831.169999,1168831.169999,2025-03-25 02:01:06-03:00
272,PCIM-1609.0030,EMBRAPII,0,2016-09-30,2016-09-30,2018-03-30,6,6,950000.000000,950000.000000,950000.000000,2850000.000000,2025-03-25 02:01:06-03:00
273,PCIM-1609.0031,EMBRAPII,0,2016-09-22,2016-09-22,2018-03-22,6,6,1000000.000000,1000000.000000,1000000.000000,3000000.000000,2025-03-25 02:01:06-03:00
274,PCIM-1609.0032,EMBRAPII,0,2016-09-22,2016-09-22,2020-01-22,4,4,1199700.000000,1590300.000000,833376.630000,3623376.629999,2025-03-25 02:01:06-03:00
275,PCIM-1610.0033,EMBRAPII,0,2016-10-24,2016-10-24,2017-11-01,6,6,290576.710000,385175.390000,201849.920000,877602.020000,2025-03-25 02:01:06-03:00
276,PCEE-1503.0001,EMBRAPII,2,2015-03-01,2015-03-01,2015-10-31,6,6,51200.000000,108505.000000,11733.000000,171438.000000,2025-03-25 02:01:06-03:00
271,PCIM-1609.0029,EMBRAPII,0,2016-09-22,2016-09-22,2018-03-22,4,4,385714.289999,514285.710000,268831.169999,1168831.169999,2025-03-31 13:34:13-03:00
272,PCIM-1609.0030,EMBRAPII,0,2016-09-30,2016-09-30,2018-03-30,6,6,950000.000000,950000.000000,950000.000000,2850000.000000,2025-03-31 13:34:13-03:00
273,PCIM-1609.0031,EMBRAPII,0,2016-09-22,2016-09-22,2018-03-22,6,6,1000000.000000,1000000.000000,1000000.000000,3000000.000000,2025-03-31 13:34:13-03:00
274,PCIM-1609.0032,EMBRAPII,0,2016-09-22,2016-09-22,2020-01-22,4,4,1199700.000000,1590300.000000,833376.630000,3623376.629999,2025-03-31 13:34:13-03:00
275,PCIM-1610.0033,EMBRAPII,0,2016-10-24,2016-10-24,2017-11-01,6,6,290576.710000,385175.390000,201849.920000,877602.020000,2025-03-31 13:34:13-03:00
276,PCEE-1503.0001,EMBRAPII,2,2015-03-01,2015-03-01,2015-10-31,6,6,51200.000000,108505.000000,11733.000000,171438.000000,2025-03-31 13:34:13-03:00
277,PCEE-1504.0002,EMBRAPII,2,2015-04-01,2015-04-01,2016-03-31,5,5,349520.000000,562540.000000,95509.200000,1007569.199999,2025-03-25 02:01:06-03:00
278,PCEE-1504.0003,EMBRAPII,2,2015-04-01,2015-04-01,2017-03-31,6,6,788464.000000,1557876.699999,173277.000000,2519617.700000,2025-03-25 02:01:06-03:00
279,PCEE-1504.0004,EMBRAPII,2,2015-04-01,2015-04-01,2017-10-31,6,6,888157.599999,1518736.000000,326225.659999,2733119.259999,2025-03-25 02:01:06-03:00
280,PCEE-1504.0005,EMBRAPII,2,2015-04-01,2015-04-01,2018-03-31,6,6,730080.000000,1314506.110000,156210.000000,2200796.109999,2025-03-25 02:01:06-03:00
281,PCEE-1507.0006,EMBRAPII,2,2015-07-01,2015-07-01,2016-03-31,6,6,101070.000000,185600.000000,20787.000000,307457.000000,2025-03-25 02:01:06-03:00
282,PCEE-1508.0007,EMBRAPII,0,2015-08-01,2015-08-01,2016-04-30,6,6,60581.940000,105000.000000,22356.940000,187938.880000,2025-03-25 02:01:06-03:00
277,PCEE-1504.0002,EMBRAPII,2,2015-04-01,2015-04-01,2016-03-31,5,5,349520.000000,562540.000000,95509.200000,1007569.199999,2025-03-31 13:34:13-03:00
278,PCEE-1504.0003,EMBRAPII,2,2015-04-01,2015-04-01,2017-03-31,6,6,788464.000000,1557876.699999,173277.000000,2519617.700000,2025-03-31 13:34:13-03:00
279,PCEE-1504.0004,EMBRAPII,2,2015-04-01,2015-04-01,2017-10-31,6,6,888157.599999,1518736.000000,326225.659999,2733119.259999,2025-03-31 13:34:13-03:00
280,PCEE-1504.0005,EMBRAPII,2,2015-04-01,2015-04-01,2018-03-31,6,6,730080.000000,1314506.110000,156210.000000,2200796.109999,2025-03-31 13:34:13-03:00
281,PCEE-1507.0006,EMBRAPII,2,2015-07-01,2015-07-01,2016-03-31,6,6,101070.000000,185600.000000,20787.000000,307457.000000,2025-03-31 13:34:13-03:00
282,PCEE-1508.0007,EMBRAPII,0,2015-08-01,2015-08-01,2016-04-30,6,6,60581.940000,105000.000000,22356.940000,187938.880000,2025-03-31 13:34:13-03:00
283,PCEE-1508.0008,EMBRAPII,2,2015-08-01,2015-08-01,2015-11-30,6,6,329600.000000,626663.250000,50217.600000,1006480.849999,2025-03-25 02:01:06-03:00
284,PCEE-1509.0009,EMBRAPII,2,2015-09-01,2015-09-01,2017-03-31,6,6,339780.000000,648000.000000,81174.000000,1068954.000000,2025-03-25 02:01:06-03:00
285,PCEE-1510.0010,EMBRAPII,2,2015-10-01,2015-10-01,2017-08-31,6,6,265354.000000,437292.000000,102860.590000,805506.589999,2025-03-25 02:01:06-03:00
286,PCEE-1510.0011,EMBRAPII,2,2015-10-01,2015-10-01,2016-10-31,6,6,171900.000000,291469.000000,59050.000000,522419.000000,2025-03-25 02:01:06-03:00
287,PCEE-1510.0012,EMBRAPII,2,2015-10-01,2015-10-01,2016-12-31,6,6,147240.000000,303160.000000,41724.000000,492124.000000,2025-03-25 02:01:06-03:00
288,PCEE-1510.0013,EMBRAPII,2,2015-10-01,2015-10-01,2016-03-31,6,6,42180.000000,70800.000000,12138.000000,125118.000000,2025-03-25 02:01:06-03:00
283,PCEE-1508.0008,EMBRAPII,2,2015-08-01,2015-08-01,2015-11-30,6,6,329600.000000,626663.250000,50217.600000,1006480.849999,2025-03-31 13:34:13-03:00
284,PCEE-1509.0009,EMBRAPII,2,2015-09-01,2015-09-01,2017-03-31,6,6,339780.000000,648000.000000,81174.000000,1068954.000000,2025-03-31 13:34:13-03:00
285,PCEE-1510.0010,EMBRAPII,2,2015-10-01,2015-10-01,2017-08-31,6,6,265354.000000,437292.000000,102860.590000,805506.589999,2025-03-31 13:34:13-03:00
286,PCEE-1510.0011,EMBRAPII,2,2015-10-01,2015-10-01,2016-10-31,6,6,171900.000000,291469.000000,59050.000000,522419.000000,2025-03-31 13:34:13-03:00
287,PCEE-1510.0012,EMBRAPII,2,2015-10-01,2015-10-01,2016-12-31,6,6,147240.000000,303160.000000,41724.000000,492124.000000,2025-03-31 13:34:13-03:00
288,PCEE-1510.0013,EMBRAPII,2,2015-10-01,2015-10-01,2016-03-31,6,6,42180.000000,70800.000000,12138.000000,125118.000000,2025-03-31 13:34:13-03:00
289,PCEE-1601.0014,EMBRAPII,2,2016-01-04,2016-01-04,2016-12-31,6,6,127600.000000,363160.000000,28600.000000,519360.000000,2025-03-25 02:01:06-03:00
290,PCEE-1601.0015,EMBRAPII,2,2016-01-04,2016-01-04,2016-12-31,6,6,108722.000000,199500.000000,26952.200000,335174.200000,2025-03-25 02:01:06-03:00
291,PCEE-1601.0016,EMBRAPII,2,2016-01-04,2016-01-04,2017-02-28,6,6,102560.000000,181248.000000,25216.000000,309024.000000,2025-03-25 02:01:06-03:00
292,PCEE-1601.0017,EMBRAPII,2,2016-01-04,2016-01-04,2016-08-31,6,6,83000.000000,182220.000000,18860.000000,284080.000000,2025-03-25 02:01:06-03:00
293,PCEE-1601.0018,EMBRAPII,2,2016-01-04,2016-01-04,2016-08-31,6,6,68575.000000,120000.000000,17417.500000,205992.500000,2025-03-25 02:01:06-03:00
294,PCEE-1601.0019,EMBRAPII,2,2016-01-04,2016-01-04,2016-08-31,6,6,62800.000000,114365.560000,16840.000000,194005.560000,2025-03-25 02:01:06-03:00
289,PCEE-1601.0014,EMBRAPII,2,2016-01-04,2016-01-04,2016-12-31,6,6,127600.000000,363160.000000,28600.000000,519360.000000,2025-03-31 13:34:13-03:00
